Time,CO2_Concentration_ppm
2024-09-03 01:00:08,395
2024-09-03 01:01:21,389
2024-09-03 01:01:58,390
2024-09-03 01:02:44,393
2024-09-03 01:04:12,394
2024-09-03 01:04:37,395
2024-09-03 01:05:50,393
2024-09-03 01:07:08,393
2024-09-03 01:08:27,391
2024-09-03 01:08:48,395
2024-09-03 01:09:52,390
2024-09-03 01:10:40,392
2024-09-03 01:11:40,390
2024-09-03 01:12:53,393
2024-09-03 01:14:22,390
2024-09-03 01:15:05,394
2024-09-03 01:16:09,393
2024-09-03 01:16:53,396
2024-09-03 01:17:32,392
2024-09-03 01:18:51,394
2024-09-03 01:20:22,392
2024-09-03 01:20:31,393
2024-09-03 01:21:53,393
2024-09-03 01:23:13,390
2024-09-03 01:23:59,390
2024-09-03 01:25:07,394
2024-09-03 01:25:31,394
2024-09-03 01:27:29,393
2024-09-03 01:27:50,392
2024-09-03 01:29:02,392
2024-09-03 01:29:41,394
2024-09-03 01:31:27,395
2024-09-03 01:31:51,389
2024-09-03 01:33:13,396
2024-09-03 01:33:54,396
2024-09-03 01:35:18,387
2024-09-03 01:35:56,394
2024-09-03 01:37:28,394
2024-09-03 01:38:11,392
2024-09-03 01:38:57,389
2024-09-03 01:40:29,394
2024-09-03 01:40:45,392
2024-09-03 01:41:44,393
2024-09-03 01:43:16,396
2024-09-03 01:44:20,393
2024-09-03 01:45:13,390
2024-09-03 01:46:24,391
2024-09-03 01:47:21,390
2024-09-03 01:48:26,393
2024-09-03 01:48:32,389
2024-09-03 01:50:06,390
2024-09-03 01:51:20,388
2024-09-03 01:51:36,391
2024-09-03 01:52:50,391
2024-09-03 01:53:38,385
2024-09-03 01:55:08,391
2024-09-03 01:55:47,390
2024-09-03 01:56:33,389
2024-09-03 01:57:54,395
2024-09-03 01:59:29,393
2024-09-03 01:59:43,389
2024-09-03 02:01:19,394
2024-09-03 02:02:27,394
2024-09-03 02:02:38,391
2024-09-03 02:03:55,392
2024-09-03 02:05:22,392
2024-09-03 02:05:31,387
2024-09-03 02:06:49,391
2024-09-03 02:07:57,391
2024-09-03 02:09:16,394
2024-09-03 02:10:29,392
2024-09-03 02:10:36,390
2024-09-03 02:12:13,392
2024-09-03 02:12:37,394
2024-09-03 02:14:16,392
2024-09-03 02:15:04,391
2024-09-03 02:15:43,390
2024-09-03 02:16:46,393
2024-09-03 02:18:05,392
2024-09-03 02:19:19,391
2024-09-03 02:20:09,391
2024-09-03 02:20:33,389
2024-09-03 02:21:31,390
2024-09-03 02:22:35,390
2024-09-03 02:24:23,390
2024-09-03 02:25:11,394
2024-09-03 02:25:33,389
2024-09-03 02:27:23,390
2024-09-03 02:27:58,388
2024-09-03 02:28:47,388
2024-09-03 02:29:55,391
2024-09-03 02:31:13,390
2024-09-03 02:32:03,395
2024-09-03 02:32:39,390
2024-09-03 02:34:05,394
2024-09-03 02:34:43,393
2024-09-03 02:36:00,391
2024-09-03 02:37:17,395
2024-09-03 02:37:44,392
2024-09-03 02:38:37,394
2024-09-03 02:39:43,394
2024-09-03 02:40:52,392
2024-09-03 02:42:29,393
2024-09-03 02:43:26,391
2024-09-03 02:44:09,388
2024-09-03 02:44:50,390
2024-09-03 02:45:45,393
2024-09-03 02:47:14,394
2024-09-03 02:47:47,390
2024-09-03 02:49:16,392
2024-09-03 02:50:22,391
2024-09-03 02:50:53,391
2024-09-03 02:51:55,393
2024-09-03 02:52:54,391
2024-09-03 02:54:29,392
2024-09-03 02:55:29,394
2024-09-03 02:56:29,392
2024-09-03 02:57:14,391
2024-09-03 02:58:10,395
2024-09-03 02:58:58,392
2024-09-03 02:59:44,390
2024-09-03 03:01:14,389
2024-09-03 03:01:30,389
2024-09-03 03:02:54,393
2024-09-03 03:03:36,390
2024-09-03 03:04:38,389
2024-09-03 03:05:53,389
2024-09-03 03:06:30,390
2024-09-03 03:08:13,392
2024-09-03 03:08:37,390
2024-09-03 03:09:53,387
2024-09-03 03:10:40,390
2024-09-03 03:12:20,390
2024-09-03 03:12:46,389
2024-09-03 03:13:37,392
2024-09-03 03:15:04,389
2024-09-03 03:16:04,392
2024-09-03 03:17:02,391
2024-09-03 03:18:28,392
2024-09-03 03:18:34,388
2024-09-03 03:20:11,390
2024-09-03 03:21:08,390
2024-09-03 03:22:27,387
2024-09-03 03:23:10,392
2024-09-03 03:23:57,388
2024-09-03 03:24:36,390
2024-09-03 03:25:38,388
2024-09-03 03:26:37,391
2024-09-03 03:27:41,387
2024-09-03 03:29:03,392
2024-09-03 03:30:02,393
2024-09-03 03:31:17,392
2024-09-03 03:32:24,392
2024-09-03 03:32:52,393
2024-09-03 03:33:53,388
2024-09-03 03:35:06,393
2024-09-03 03:36:04,389
2024-09-03 03:37:13,390
2024-09-03 03:38:09,389
2024-09-03 03:38:51,391
2024-09-03 03:39:56,389
2024-09-03 03:41:04,390
2024-09-03 03:41:30,387
2024-09-03 03:43:04,391
2024-09-03 03:44:06,390
2024-09-03 03:45:16,388
2024-09-03 03:45:43,388
2024-09-03 03:46:32,390
2024-09-03 03:47:30,389
2024-09-03 03:48:34,390
2024-09-03 03:49:55,392
2024-09-03 03:51:24,388
2024-09-03 03:51:43,392
2024-09-03 03:53:08,391
2024-09-03 03:53:56,390
2024-09-03 03:54:38,390
2024-09-03 03:55:44,393
2024-09-03 03:56:44,390
2024-09-03 03:57:55,387
2024-09-03 03:59:11,392
2024-09-03 04:00:29,389
2024-09-03 04:00:42,392
2024-09-03 04:02:20,394
2024-09-03 04:03:01,392
2024-09-03 04:04:08,394
2024-09-03 04:05:18,394
2024-09-03 04:06:21,393
2024-09-03 04:07:01,392
2024-09-03 04:07:33,395
2024-09-03 04:08:59,396
2024-09-03 04:10:06,396
2024-09-03 04:10:52,391
2024-09-03 04:12:08,389
2024-09-03 04:13:14,390
2024-09-03 04:13:44,392
2024-09-03 04:15:12,391
2024-09-03 04:15:58,391
2024-09-03 04:17:05,392
2024-09-03 04:17:42,387
2024-09-03 04:19:01,390
2024-09-03 04:19:36,392
2024-09-03 04:21:28,391
2024-09-03 04:22:20,391
2024-09-03 04:22:51,393
2024-09-03 04:23:57,390
2024-09-03 04:24:31,390
2024-09-03 04:26:11,393
2024-09-03 04:27:14,393
2024-09-03 04:28:26,392
2024-09-03 04:29:22,391
